title,author,rating,image,author_link,description,no_of_ratings,published_year,genres
1984 (Paperback),George Orwell,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657781256l/61439040._SX50_.jpg,https://www.goodreads.com/author/show/3706.George_Orwell,,5641508,1948,[]
To Kill a Mockingbird (Paperback),Harper Lee,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1612238791l/56916837._SY75_.jpg,https://www.goodreads.com/author/show/1825.Harper_Lee,,7026540,1960,[]
The Great Gatsby (Paperback),F. Scott Fitzgerald,3.93,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650033243l/41733839._SY75_.jpg,https://www.goodreads.com/author/show/3190.F_Scott_Fitzgerald,,6050905,1925,[]
Animal Farm (Mass Market Paperback),George Orwell,4.03,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570l/170448._SY75_.jpg,https://www.goodreads.com/author/show/3706.George_Orwell,,4703790,1945,[]
"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,4.47,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598823299l/42844155._SX50_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,11646021,1997,[]
The Catcher in the Rye (Paperback),J.D. Salinger,3.8,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300l/5107._SY75_.jpg,https://www.goodreads.com/author/show/819789.J_D_Salinger,,3963760,1951,[]
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.35,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052._SX50_.jpg,https://www.goodreads.com/author/show/153394.Suzanne_Collins,,10130881,2008,[]
The Alchemist (Paperback),Paulo Coelho,3.92,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654371463l/18144590._SY75_.jpg,https://www.goodreads.com/author/show/566.Paulo_Coelho,,3678174,1988,[]
The Handmaid's Tale (Hardcover),Margaret Atwood,4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488552336l/34454589._SY75_.jpg,https://www.goodreads.com/author/show/3472.Margaret_Atwood,,2506103,1985,[]
Pride and Prejudice (Hardcover),Jane Austen,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681804503l/129915654._SX50_.jpg,https://www.goodreads.com/author/show/1265.Jane_Austen,,4928550,1813,[]
The Kite Runner (Paperback),Khaled Hosseini,4.36,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541428344l/17165596._SY75_.jpg,https://www.goodreads.com/author/show/569.Khaled_Hosseini,,3561781,2003,[]
Fahrenheit 451 (Mass Market Paperback),Ray Bradbury,3.97,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290l/13079982._SY75_.jpg,https://www.goodreads.com/author/show/1630.Ray_Bradbury,,2928014,1963,[]
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474169725l/15881._SY75_.jpg,https://www.goodreads.com/author/show/1077326.J_K_Rowling,,4595281,1998,[]
Lord of the Flies (Paperback),William Golding,3.7,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409l/7624._SY75_.jpg,https://www.goodreads.com/author/show/306.William_Golding,,3268829,1954,[]
"The Hobbit, or There and Back Again (Paperback)",J.R.R. Tolkien,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546071216l/5907._SY75_.jpg,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,,4556802,1937,[]
"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597798677l/55019161._SY75_.jpg,https://www.goodreads.com/author/show/630.Dan_Brown,,2560907,2003,[]
