title,author,rating,image,author_link,description,no_of_ratings,published_year,genres
Sapiens: A Brief History of Humankind (Paperback),Yuval Noah Harari,4.33,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703329310l/23692271._SY75_.jpg,https://www.goodreads.com/author/show/395812.Yuval_Noah_Harari,,1301231,2011.0,[]
"Guns, Germs, and Steel: The Fates of Human Societies (Paperback)",Jared Diamond,4.04,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453215833l/1842._SY75_.jpg,https://www.goodreads.com/author/show/256.Jared_Diamond,,466753,1997.0,[]
A People’s History of the United States: 1492 - Present (Paperback),Howard Zinn,4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494279423l/2767._SY75_.jpg,https://www.goodreads.com/author/show/1899.Howard_Zinn,,270881,1980.0,[]
The Diary of a Young Girl (Mass Market Paperback),Anne Frank,4.2,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696989545l/127441416._SY75_.jpg,https://www.goodreads.com/author/show/3720.Anne_Frank,,4273982,1947.0,[]
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America (Hardcover)",Erik Larson,4.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583433024l/397483._SY75_.jpg,https://www.goodreads.com/author/show/5869.Erik_Larson,,773376,2003.0,[]
1776 (Paperback),David McCullough,4.1,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306787560l/1067._SY75_.jpg,https://www.goodreads.com/author/show/6281688.David_McCullough,,252734,2005.0,[]
SPQR: A History of Ancient Rome (Paperback),Mary Beard,4.05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1470421195l/28789711._SY75_.jpg,https://www.goodreads.com/author/show/97783.Mary_Beard,,85177,2015.0,[]
A Short History of Nearly Everything (Paperback),Bill Bryson,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1433086293l/21._SY75_.jpg,https://www.goodreads.com/author/show/7.Bill_Bryson,,430544,2003.0,[]
The Rise and Fall of the Third Reich: A History of Nazi Germany (Mass Market Paperback),William L. Shirer,4.23,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1331223772l/767171._SY75_.jpg,https://www.goodreads.com/author/show/13360.William_L_Shirer,,151323,1960.0,[]
1491: New Revelations of the Americas Before Columbus (Paperback),Charles C. Mann,4.05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545238592l/39020._SY75_.jpg,https://www.goodreads.com/author/show/22004.Charles_C_Mann,,97072,2005.0,[]
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI (Paperback),David Grann,4.14,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1696884539l/193388249._SY75_.jpg,https://www.goodreads.com/author/show/1431785.David_Grann,,461060,2017.0,[]
Night (Paperback),Elie Wiesel,4.38,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1709507006l/1617._SY75_.jpg,https://www.goodreads.com/author/show/1049.Elie_Wiesel,,1388995,1956.0,[]
Bury My Heart at Wounded Knee: An Indian History of the American West (Paperback),Dee Brown,4.26,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604058784l/76401._SX50_.jpg,https://www.goodreads.com/author/show/43443.Dee_Brown,,104682,1970.0,[]
Team of Rivals: The Political Genius of Abraham Lincoln (Paperback),Doris Kearns Goodwin,4.28,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1676201263l/2199._SY75_.jpg,https://www.goodreads.com/author/show/1476.Doris_Kearns_Goodwin,,203045,2005.0,[]
"Unbroken: A World War II Story of Survival, Resilience and Redemption (Hardcover)",Laura Hillenbrand,4.39,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327861115l/8664353._SY75_.jpg,https://www.goodreads.com/author/show/30913.Laura_Hillenbrand,,1010280,2010.0,[]
The Guns of August (Kindle Edition),Barbara W. Tuchman,4.18,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617037342l/40779082._SY75_.jpg,https://www.goodreads.com/author/show/137261.Barbara_W_Tuchman,,86513,1962.0,[]
