title,author,rating,image,author_link,description,no_of_ratings,published_year,genres
The God Delusion (Hardcover),Richard Dawkins,3.9,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347220693l/14743._SY75_.jpg,https://www.goodreads.com/author/show/1194.Richard_Dawkins,,286335,2006.0,[]
Mere Christianity (Paperback),C.S. Lewis,4.37,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468102872l/11138._SY75_.jpg,https://www.goodreads.com/author/show/1069006.C_S_Lewis,,466989,1952.0,[]
"The Screwtape Letters (Screwtape, #1)",C.S. Lewis,4.27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1760782828l/8130077._SY75_.jpg,https://www.goodreads.com/author/show/1069006.C_S_Lewis,,540004,1942.0,[]
God Is Not Great: How Religion Poisons Everything (Hardcover),Christopher Hitchens,3.96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411218313l/43369._SY75_.jpg,https://www.goodreads.com/author/show/3956.Christopher_Hitchens,,113980,2007.0,[]
The Holy Bible: King James Version (Hardcover),Anonymous,4.45,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631816305l/1923820._SY75_.jpg,https://www.goodreads.com/author/show/5158478.Anonymous,,324601,1611.0,[]
"A History of God: The 4000-Year Quest of Judaism, Christianity and Islam (Hardcover)",Karen Armstrong,3.89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924363l/3873._SX50_.jpg,https://www.goodreads.com/author/show/2637.Karen_Armstrong,,53115,1993.0,[]
القرآن الكريم (Hardcover),الله,4.38,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1275263838l/646462._SY75_.jpg,https://www.goodreads.com/author/show/20650942._,,73567,,[]
The Bhagavad Gita (Paperback),Krishna-Dwaipayana Vyasa,4.19,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1769077152l/99944._SY75_.jpg,https://www.goodreads.com/author/show/1782206.Krishna_Dwaipayana_Vyasa,,83471,,[]
Under the Banner of Heaven: A Story of Violent Faith (Paperback),Jon Krakauer,4.01,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356441391l/10847._SY75_.jpg,https://www.goodreads.com/author/show/1235.Jon_Krakauer,,229293,2003.0,[]
Siddhartha (Mass Market Paperback),Hermann Hesse,4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629378189l/52036._SY75_.jpg,https://www.goodreads.com/author/show/1113469.Hermann_Hesse,,899247,1922.0,[]
