title,author,rating,image,author_link,description,no_of_ratings,published_year,genres
The Love Hypothesis (Paperback),Ali Hazelwood,4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1747519081l/56732449._SY75_.jpg,https://www.goodreads.com/author/show/21098177.Ali_Hazelwood,,2004516,2021,[]
Beach Read (Paperback),Emily Henry,3.96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589881197l/52867387._SX50_.jpg,https://www.goodreads.com/author/show/13905555.Emily_Henry,,1717628,2020,[]
Book Lovers (Paperback),Emily Henry,4.09,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1638867089l/58690308._SY75_.jpg,https://www.goodreads.com/author/show/13905555.Emily_Henry,,1636716,2022,[]
Pride and Prejudice (Hardcover),Jane Austen,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681804503l/129915654._SX50_.jpg,https://www.goodreads.com/author/show/1265.Jane_Austen,,4928550,1813,[]
People We Meet on Vacation (Kindle Edition),Emily Henry,3.84,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1773657247l/55076069._SY75_.jpg,https://www.goodreads.com/author/show/13905555.Emily_Henry,,1882458,2021,[]
"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,4.07,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670795825l/62627512._SY75_.jpg,https://www.goodreads.com/author/show/5430144.Colleen_Hoover,,4749369,2016,[]
"Red, White & Royal Blue (Red, White & Royal Blue, #1)",Casey McQuiston,4.05,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566742512l/41150487._SY75_.jpg,https://www.goodreads.com/author/show/17949486.Casey_McQuiston,,1259571,2019,[]
The Fault in Our Stars (Hardcover),John  Green,4.12,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436142804l/25856606._SX50_.jpg,https://www.goodreads.com/author/show/1406384.John_Green,,5818117,2012,[]
"Twilight (Twilight Saga, #1)",Stephenie Meyer,3.68,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1700522826l/41865._SY75_.jpg,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,,7431342,2005,[]
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1620324329l/50659467._SY75_.jpg,https://www.goodreads.com/author/show/3433047.Sarah_J_Maas,,4435799,2015,[]
